Iteration Number, Current Time, Norm, Average Location of the Function
0,0.000000,1.000000,-0.008850
1,0.010000,1.000000,0.001150
2,0.020000,1.000000,0.011150
3,0.030000,1.000000,0.021150
4,0.040000,1.000000,0.031150
5,0.050000,1.000000,0.041150
6,0.060000,1.000000,0.051150
7,0.070000,1.000000,0.061150
8,0.080000,1.000000,0.071150
9,0.090000,1.000000,0.081150
10,0.100000,1.000000,0.091150
11,0.110000,1.000000,0.101150
12,0.120000,1.000000,0.111150
13,0.130000,1.000000,0.121150
14,0.140000,1.000000,0.131150
15,0.150000,1.000000,0.141150
16,0.160000,1.000000,0.151150
17,0.170000,1.000000,0.161150
18,0.180000,1.000000,0.171150
19,0.190000,1.000000,0.181150
20,0.200000,1.000000,0.191150
21,0.210000,1.000000,0.201150
22,0.220000,1.000000,0.211150
23,0.230000,1.000000,0.221150
24,0.240000,1.000000,0.231150
25,0.250000,1.000000,0.241150
26,0.260000,1.000000,0.251150
27,0.270000,1.000000,0.261150
28,0.280000,1.000000,0.271150
29,0.290000,1.000000,0.281150
30,0.300000,1.000000,0.291150
31,0.310000,1.000000,0.301150
32,0.320000,1.000000,0.311150
33,0.330000,1.000000,0.321150
34,0.340000,1.000000,0.331150
35,0.350000,1.000000,0.341150
36,0.360000,1.000000,0.351150
37,0.370000,1.000000,0.361150
38,0.380000,1.000000,0.371150
39,0.390000,1.000000,0.381150
40,0.400000,1.000000,0.391150
41,0.410000,1.000000,0.401150
42,0.420000,1.000000,0.411150
43,0.430000,1.000000,0.421150
44,0.440000,1.000000,0.431150
45,0.450000,1.000000,0.441150
46,0.460000,1.000000,0.451150
47,0.470000,1.000000,0.461150
48,0.480000,1.000000,0.471150
49,0.490000,1.000000,0.481150
